"crops","nitrogen","phosphorus","potassium","ph","temperature","rainfall","season","soil_type","category"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",175,"kharif","clay","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",175,"kharif","clay","class 10"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",175,"kharif","clay","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",175,"kharif","clay","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",300,"kharif","clay","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",300,"kharif","clay","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",300,"kharif","clay","class 2"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",300,"kharif","clay","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",175,"kharif","clay_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",175,"kharif","clay_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",175,"kharif","clay_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",175,"kharif","clay_loam","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",300,"kharif","clay_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",300,"kharif","clay_loam","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",300,"kharif","clay_loam","class 2"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",300,"kharif","clay_loam","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",175,"kharif","red_yellow","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",175,"kharif","red_yellow","class 10"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",175,"kharif","red_yellow","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",175,"kharif","red_yellow","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",300,"kharif","red_yellow","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",300,"kharif","red_yellow","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",300,"kharif","red_yellow","class 2"
